Word,Translation,Level,Batch,Pronunciation,IPA,PoS,Meaning,Example,Example Tran.,Synonyms,Variants,Castilian,Tags,,,,,,,,,
uno,one,1,1,oo-noh,/'uno/,numeral,,,,N/A,"una, unos, unas",N/A,"number, ",,,,,,,,,
dos,two,1,1,dohs,/dos/,numeral,,,,N/A,N/A,N/A,,,,,,,,,,
tres,three,1,1,trehs,/tres/,numeral,,,,N/A,N/A,N/A,,,,,,,,,,
cuatro,four,1,1,kwah-troh,/'kwatro/,numeral,,,,N/A,N/A,N/A,,,,,,,,,,
cinco,five,1,1,seen-koh,/'siŋko/,numeral,,,,N/A,N/A,N/A,,,,,,,,,,
seis,six,1,1,seh-ees,/sejs/,numeral,,,,N/A,N/A,N/A,,,,,,,,,,
siete,seven,1,1,syeh-teh,/'sjete/,numeral,,,,N/A,N/A,N/A,,,,,,,,,,
ocho,eight,1,1,oh-choh,/'otʃo/,numeral,,,,N/A,N/A,N/A,,,,,,,,,,
nueve,nine,1,1,nweh-veh,/'nweβe/,numeral,,,,N/A,N/A,N/A,,,,,,,,,,
diez,ten,1,1,dyehz,/djes/,numeral,,,,N/A,N/A,N/A,,,,,,,,,,
cero,zero,1,1,,,,,,,,,,,,,,,,,,,
numero,number,1,1,,,,,,,,,,,,,,,,,,,
hola,hello,1,2,,,,,,,,,,,,,,,,,,,
adios,goodbye,1,2,,,,,,,,,,,,,,,,,,,
gracias,thank you,1,2,,,,,,,,,,,,,,,,,,,
de nada,you're welcome,1,2,,,,,,,,,,,,,,,,,,,
por favor,please,1,2,,,,,,,,,,,,,,,,,,,
perdon,excuse me,1,2,,,,,,,,,,,,,,,,,,,
disculpe,excuse me,1,2,,,,,,,,,,,,,,,,,,,
buenos dias,good morning,1,2,,,,,,,,,,,,,,,,,,,
si,yes,1,2,,,,,,,,,,,,,,,,,,,
como estas,how are you,1,2,,,,,,,,,,,,,,,,,,,
mucho gusto,nice to meet you,1,2,,,,,,,,,,,,,,,,,,,
hasta luego,see you later,1,2,,,,,,,,,,,,,,,,,,,
la familia,family,1,3,,,,,,,,,,,,,,,,,,,
la madre,mother,1,3,,,,,,,,,,,,,,,,,,,
el padre,father,1,3,,,,,,,,,,,,,,,,,,,
los padres,parents,1,3,,,,,,,,,,,,,,,,,,,
el hermano,brother,1,3,,,,,,,,,,,,,,,,,,,
la hermana,sister,1,3,,,,,,,,,,,,,,,,,,,
el hijo,son,1,3,,,,,,,,,,,,,,,,,,,
la hija,daughter,1,3,,,,,,,,,,,,,,,,,,,
el abuelo,grandfather,1,3,,,,,,,,,,,,,,,,,,,
la abuela,grandmother,1,3,,,,,,,,,,,,,,,,,,,
el amigo,friend,1,3,,,,,,,,,,,,,,,,,,,
la persona,person,1,3,,,,,,,,,,,,,,,,,,,
yo,I,1,4,,,,,,,,,,,,,,,,,,,
el,he,1,4,,,,,,,,,,,,,,,,,,,
ella,she,1,4,,,,,,,,,,,,,,,,,,,
nosotros,,1,4,,,,,,,,,,,,,,,,,,,
tu,you,1,4,,,,,,,,,,,,,,,,,,,
rojo,red,1,4,,,,,,,,,,,,,,,,,,,
azul,blue,1,4,,,,,,,,,,,,,,,,,,,
blanco,white,1,4,,,,,,,,,,,,,,,,,,,
negro,black,1,4,,,,,,,,,,,,,,,,,,,
